Latitude,Longitude,StationID,US10cm_data_length,US20cm_data_length,US30cm_data_length,US40cm_data_length,smlp_R_US10cm,smlp_bias_US10cm,smlp_rmse_US10cm,smlp_ubrmse_US10cm,smlp_mpae_US10cm,smlp_mae_US10cm,era_R_US10cm,era_bias_US10cm,era_rmse_US10cm,era_ubrmse_US10cm,era_mpae_US10cm,era_mae_US10cm,esa_R_US10cm,esa_bias_US10cm,esa_rmse_US10cm,esa_ubrmse_US10cm,esa_mpae_US10cm,esa_mae_US10cm,gleam_R_US10cm,gleam_bias_US10cm,gleam_rmse_US10cm,gleam_ubrmse_US10cm,gleam_mpae_US10cm,gleam_mae_US10cm
-9.174539,-37.881241,270010201C,293,293,,,0.7744202150327574,0.000460703938795,0.0347822983590323,0.0347792471312638,0.4267863367182979,0.0249941468845137,0.8192071720149886,0.0928240579067212,0.0982429215391973,0.0321771022046196,0.6649691183418109,0.0932452808355072,0.816450504367406,0.1025979524281388,0.1074276371977835,0.031848977871385,0.6839068370028513,0.1027422140635547,0.8901357412247916,0.1311145014351259,0.1333690277351222,0.024418949044342,0.7335740876722626,0.1311145014351259
-9.42307,-38.01138,270240501C,1033,1312,,,0.4862767733263108,0.0369620961884379,0.0551936099709103,0.0409894867859752,0.6788994964666355,0.0470766318789302,0.5602730478146625,0.0678904849679854,0.081778154746713,0.0455911026910853,0.7358601560470663,0.0719494609666215,0.6520494973355772,0.1168290517758405,0.1218983825799077,0.0347877613070391,0.8079988806888176,0.1180382306992635,0.7207501250417593,0.1641661152963432,0.1673077194658496,0.0322701035227833,0.8504429380678127,0.1641661152963432
-9.900975,-36.777773,270290001C,275,366,,,0.350494209679399,0.0643199738310161,0.0784354325007035,0.0448893978345646,0.4457464171894505,0.0645928683028635,0.3703892870641135,0.2415773895433325,0.246295461463756,0.0479772779456431,0.7621525871765277,0.2415773895433325,0.7175223673895654,0.0982149876644551,0.1034403558420435,0.0324611061857034,0.5710286673339079,0.0982149876644551,0.6543629025756776,0.1685466740830269,0.1715687018400085,0.0320599143263927,0.6960924977272113,0.1685466740830269
-9.262886,-37.667574,270330401C,829,478,,,0.6072323855359473,0.0146048723693751,0.0438386343033293,0.0413342903731914,0.5062109666702457,0.0363944589857575,0.6208032561987401,0.0472711143259527,0.0660351604184035,0.0461094801734632,0.5196622637779479,0.0533238699550384,0.6714620180373235,0.1198080025418023,0.1258769990479607,0.0386142644143817,0.6973013110617131,0.1201519217303246,0.7352220837723157,0.1395566189382394,0.1440016858049654,0.0355026143431583,0.7261433017379412,0.1395566189382394
-9.58772,-37.10839,270440101C,1280,870,,,0.6417332234713835,-0.0001099777474978,0.0392127836559233,0.0392126294316168,0.4391933169422566,0.0326851144349231,0.6925868222573437,0.0495078635802147,0.0688362717802522,0.0478268100162198,0.4185593303026796,0.0547345656510748,0.7307495039424406,0.0842336795902541,0.091675469268656,0.0361811952305987,0.5332894832393279,0.0845927310655375,0.7393179054732382,0.1628009452758898,0.1671072612764841,0.0376920281837398,0.6828905573362096,0.1628009452758898
-9.2121,-37.32166,270460901C,710,710,,,0.78614931947893,-0.0052037676070424,0.0390791145499401,0.0387310985733588,0.2852086158027321,0.0251217675425307,0.8528181457413414,0.0589337788995846,0.0693488009447252,0.0365522351859088,0.4353267900626439,0.0598697029407528,0.8481874369007882,0.1040494454440736,0.1089168938780938,0.0321963146156932,0.5817310757723948,0.1042126349878444,0.7841717592193753,0.0967436142975585,0.1037764189982649,0.0375528724966369,0.5626029151612439,0.0974419492421388
-9.505515,-37.251444,270570501C,408,408,,,0.6706248658689339,-0.0112234058840177,0.0272847167633784,0.0248694778638471,0.3502653559619706,0.0234864669042202,0.6417531913979877,0.0221622262408696,0.0407348478063576,0.0341784077138715,0.2305710834934823,0.0275398048400544,0.7008531755546511,0.0711735656125777,0.0759760931983764,0.0265836471478327,0.4607988470851061,0.0712743233421846,0.600030707943434,0.1450345228975414,0.1481495902322303,0.030220659388244,0.6342287552896171,0.1450345228975414
-9.16691,-37.343744,270610901C,1218,1218,,,0.6614155050562724,0.0523380252877772,0.0573473562553511,0.0234403578994465,0.7269868523933417,0.0525260600564105,0.6852414179700851,0.1124071558639579,0.1220988627885633,0.0476735105151309,0.8453836964132141,0.1124071558639579,0.7725283092863308,0.1585306486752227,0.1621369543072317,0.0340062550516585,0.8882506768207915,0.1585306486752227,0.7006504142602443,0.1602802670703258,0.1650350202578048,0.039329300773839,0.8871315220141133,0.1602802670703258
-9.53655,-37.36453,270840201C,148,726,,,0.6609631955769165,0.0445714049294996,0.0524421204962085,0.0276326955751592,0.8073988322491342,0.0459789366028064,0.7582138882994013,0.084268916126643,0.0917374245937676,0.0362561008099052,0.8751346695660016,0.084268916126643,0.8292980560683783,0.1332388217487451,0.1346054096761146,0.0191319808979824,0.908226975516057,0.1332388217487451,0.7595713053067558,0.2233887949910118,0.2250705698186676,0.0274628416403583,0.9407319762170372,0.2233887949910118
-9.42123,-37.39227,270895601C,421,421,,,0.5666403161873592,0.0476477674833311,0.0542949547730247,0.0260313727578708,0.7507873051709781,0.0487922689130327,0.5623697569418671,0.092034062836704,0.10154820536337,0.0429158396200143,0.8293657186874783,0.092034062836704,0.6519779579680103,0.1541303271742039,0.1569670141959114,0.0297066623967131,0.8915665608768331,0.1541303271742039,0.7403534184855085,0.206211487279614,0.2082104966467592,0.0287825194835289,0.9168629425897432,0.206211487279614
