,feature_list,importances,indices,std
0,dem,0.006806113,12,0.000893529
1,slope,0.002269231,2,0.00028758
2,lon,0.025057767,3,0.000921861
3,lat,0.008170678,9,0.000862031
4,sand#layer5,0.005130763,14,0.000644721
5,clay#layer5,0.003332702,0,0.000573893
6,bd#layer5,0.005197792,10,0.000706147
7,fca#layer5,0.003690204,11,0.000535045
8,era5sm#layer5,0.005243586,13,0.000407924
9,era5st#layer5,0.008073734,8,0.000793741
10,NDVI,0.006331803,6,0.000457206
11,EVI,0.006205489,4,0.000443272
12,sml4_p,0.901250868,7,0.000919006
13,era5sm#layer4,0.005272128,5,0.000410891
14,era5st#layer4,0.007967141,1,0.000794532
15,static,0.059655251,61,0.005424807
16,VI,0.012537292,10,0.000900478
