,feature_list,importances,indices,std
0,dem,0.015446128,12,0.001386813
1,slope,0.004418291,5,0.000697408
2,lon,0.029578679,6,0.002263395
3,lat,0.011892588,2,0.001581343
4,sand#layer2,0.013893547,8,0.001894257
5,clay#layer2,0.0379507,10,0.001312478
6,bd#layer2,0.030353227,13,0.002072818
7,fca#layer2,0.009104684,11,0.001563515
8,era5sm#layer2,0.020793338,0,0.000609706
9,era5st#layer2,0.014278005,9,0.000585271
10,NDVI,0.019031077,4,0.000583165
11,EVI,0.017329264,14,0.000494826
12,sml1_p,0.744365465,3,0.001330897
13,era5sm#layer1,0.018414027,7,0.000564211
14,era5st#layer1,0.013150978,1,0.000546029
15,static,0.152637845,67,0.012772027
16,VI,0.036360341,18,0.001077991
