,feature_list,importances,indices,std
0,dem,0.044593805,8,0.00334306
1,slope,0.014168038,4,0.001598992
2,lon,0.039626006,10,0.002421217
3,lat,0.045126324,9,0.004685023
4,sand#layer1,0.076483624,11,0.002269197
5,clay#layer1,0.031143589,3,0.002968818
6,bd#layer1,0.036294619,0,0.003064911
7,fca#layer1,0.033606808,2,0.002220084
8,era5sm#layer1,0.506152214,6,0.001395958
9,era5st#layer1,0.057883839,7,0.00143449
10,NDVI,0.064341167,5,0.001755314
11,EVI,0.050579966,1,0.001240797
12,static,0.321042813,47,0.022571303
13,VI,0.114921133,6,0.002996111
