,feature_list,importances,indices,std
0,dem,0.017993877,12,0.001871793
1,slope,0.006339308,2,0.000820804
2,lon,0.025241551,8,0.002023337
3,lat,0.020931293,4,0.001745759
4,sand#layer3,0.02503727,5,0.001945574
5,clay#layer3,0.022413339,3,0.001250688
6,bd#layer3,0.018552937,13,0.001815321
7,fca#layer3,0.013034354,6,0.00116194
8,era5sm#layer3,0.025204994,0,0.001479122
9,era5st#layer3,0.0136341,10,0.000671491
10,NDVI,0.01715477,11,0.000702032
11,EVI,0.01531283,9,0.000526993
12,sml2_p,0.747981565,7,0.001222974
13,era5sm#layer2,0.019152052,14,0.001375084
14,era5st#layer2,0.01201576,1,0.000621814
15,static,0.149543929,53,0.012635214
16,VI,0.032467601,20,0.001229025
